,index,resEnergy,nHubs,startTime,endTime
22483,232,53.729410369011,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22484,233,53.7441361345991,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22485,234,53.9840130194805,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22486,235,53.5183538250971,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22487,236,54.6007157873551,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22488,237,55.0420431995625,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22489,238,55.4612903158126,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22490,239,54.3303667852101,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22491,240,53.3744811095352,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22492,241,53.3744811095352,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22493,242,55.7088419390001,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22494,243,56.3939846065245,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22495,244,57.1105479317582,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22496,245,57.0237109989755,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22497,246,56.6846053935698,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22498,247,57.5207466252272,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22499,248,58.1753705378934,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22500,249,57.9573015105351,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22501,250,58.0776510819009,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22502,251,57.371652653673,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22503,252,56.653056918549,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22504,253,55.9860279541972,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22505,254,55.586130259892,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22506,255,55.9497248654708,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22507,256,55.9826636873081,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22508,257,55.5533909190199,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22509,258,55.6174883624606,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22510,259,56.5042908211815,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22511,260,56.0730137768474,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22512,261,56.200680889781,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22513,262,56.2521572914557,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22514,263,55.7219215507679,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22515,264,56.4098913254614,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22516,265,56.1198435613199,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22517,266,55.867894065375,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22518,267,53.8884340058686,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22519,268,53.2123589785443,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22520,269,53.1762211869907,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22521,270,54.0713817269851,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22522,271,55.0309213906712,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22523,272,55.3779591705485,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22524,273,55.6397040904222,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22525,274,55.9414439781587,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22526,275,55.7638311135949,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22527,276,56.1241654764228,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22528,277,55.8367495137362,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22529,278,55.8367495137362,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22530,279,55.6724281242073,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22531,280,55.7475145716032,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22532,281,54.8954577263162,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22533,282,54.7123155022726,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22534,283,54.0778488594386,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22535,284,54.067274708454,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22536,285,54.3484450195434,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22537,286,53.9576903034995,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22538,287,54.4127878188414,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22539,288,54.359968363694,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22540,289,54.6925374529939,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22541,290,55.5945536655619,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22542,291,55.4609852770904,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22543,292,55.2826058542434,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22544,293,54.8617608597438,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22545,294,54.5627622924106,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22546,295,54.880883857218,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22547,296,54.4939757193401,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22548,297,54.9617396317055,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22549,298,54.8731556261624,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22550,299,54.9980177205238,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22551,300,55.5649725861277,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22552,301,55.4272478597944,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22553,302,55.5293122473807,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22554,303,55.5128628682509,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22555,304,56.2437870071304,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22556,305,56.4283834194346,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22557,306,56.9210243822593,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22558,307,56.9210243822593,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22559,308,56.6645173765628,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22560,309,56.7304469398295,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22561,310,56.5383617868305,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22562,311,56.6670261572891,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22563,312,57.2137509395093,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22564,313,57.4139358847915,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22565,314,57.4139358847915,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22566,315,57.2908819241969,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22567,316,56.2213874845356,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22568,317,56.5597191054301,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22569,318,56.698564430756,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22570,319,56.2221403383838,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22571,320,55.7693946939621,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22572,321,57.3243982489024,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22573,322,55.437773206255,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22574,323,55.8336905798641,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22575,324,56.8588907568516,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22576,325,56.9202754726247,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22577,326,56.9799676345114,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22578,327,56.9426960902455,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22579,328,56.199382164211,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22580,329,56.4754053113814,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22581,330,56.6117629059409,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22582,331,56.5255060337473,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22583,332,55.8841314029784,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22584,333,55.8672228840249,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22585,334,55.7052310436173,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22586,335,55.7397045629986,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22587,336,54.8402126210589,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22588,337,54.8402126210589,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22589,338,55.3346089693939,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22590,339,55.1552603413169,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22591,340,55.4901398481842,30,2023-04-27 08:56:56,2023-04-27 22:24:16
